workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,screening_status,source_sheet
811,2024,a complete eda and dl pipeline for softwarized 5g network intrusion detection,['a moubayed'],future internet,google,2,,2,Q2,quartile,excluded,excluded
817,2024,unsupervised intrusion detection for rail transit based on anomaly segmentation,"['y shen', 'd he', 'q liu', 'z jin', 'x li', 'c ren']","signal, image and video processing",google,3,,3,Q2,quartile,excluded,excluded
834,2023,a novel hierarchical attention-based triplet network with unsupervised domain adaptation for network intrusion detection,"['j lan', 'x liu', 'b li', 'j zhao']",applied intelligence,google,13,,6.5,Q2,quartile,excluded,excluded
840,2024,deep learning for intrusion detection systems (idss) in time series data,"['k psychogyios', 'a papadakis', 's bourou', 'n nikolaou']",future internet,google,10,,10,Q2,quartile,excluded,excluded
856,2022,semi-supervised learning for optical fiber sensor road intrusion signal detection,"['j he', 'x hu', 'd zhang', 'y kong', 'j cheng', 'w xiao']",applied optics,google,9,,3,Q2,quartile,excluded,excluded
878,2023,smart intrusion detection in iot edge computing using federated learning,"['s fenanir', 'f semchedine']",revue d'intelligence artificielle,google,8,,4,Q4,quartile,excluded,excluded
940,2023,network intrusion detection based on explainable artificial intelligence,"['y wang', 'l xu', 'w liu', 'r li', 'j gu']",wireless personal communications,google,13,,6.5,Q2,quartile,excluded,excluded
942,2023,an intelligent approach of intrusion detection in mobile crowd sourcing systems in the context of iot based smart city,"['mvvp kantipudi', 'r aluvalu', 's velamuri']",smart science,google,18,,9,Q2,quartile,excluded,excluded
966,2022,a survey on intrusion detection systems for fog and cloud computing,"['v chang', 'l golightly', 'p modesti', 'qa xu', 'lmt doan']",future internet,google,90,,30,Q2,quartile,excluded,excluded
987,2024,lsf-idm: deep learning-based lightweight semantic fusion intrusion detection model for automotive,"['p cheng', 'l hua', 'h jiang', 'g liu']",peer-to-peer networking and applications,google,1,,1,Q2,quartile,excluded,excluded
1004,2023,a review of adversarial machine learning for cyber security in intelligent systems using image classification & signal classification analysis,t. jahan,ieee international conference on ict in business industry & government (ictbig),ieee,0,3,0,,h5-index,excluded,excluded
1005,2024,a novel deep reinforcement learning (drl) method for detecting evasion attack in iot environment,s. ramachandran; p. d,international conference on integrated circuits and communication systems (icicacs),ieee,0,7,0,,h5-index,excluded,excluded
1035,2025,optimizing intrusion detection with hybrid deep learning models and data balancing techniques,m. n. sarwar; m. s. arman; t. bhuiyan; f. b. rafiq,ieee international conference on ai in cybersecurity (icaic),ieee,1,0,inf,,h5-index,excluded,excluded
1047,2023,network intrusion detection method based on conditional generative adversarial network integrating multi-scale cnn,z. geng; x. xi; x. hu; y. han,ieee data driven control and learning systems conference (ddcls),ieee,1,13,0.5,,h5-index,excluded,excluded
1049,2024,a2hd: adaptive adversarial training for hyperdimensional computing-based intrusion detection against adversarial attacks,o. gungor; t. rosing; b. aksanli,ieee international conference on cyber security and resilience (csr),ieee,0,12,0,,h5-index,excluded,excluded
1051,2024,classification of deep learning methods in intrusion detection for iot devices,k. ashish; k. manoj,international conference on data science and network security (icdsns),ieee,1,6,1,,h5-index,excluded,excluded
1075,2024,research on network information security algorithms based intrusion detection using deep learning,k. pan,international conference on integrated circuits and communication systems (icicacs),ieee,1,7,1,,h5-index,excluded,excluded
1076,2024,verifying the robustness of machine learning based intrusion detection against adversarial perturbation,e. nowroozi; r. taheri; m. hajizadeh; t. bauschert,ieee international conference on cyber security and resilience (csr),ieee,2,12,2,,h5-index,excluded,excluded
1088,2024,advanced machine learning approaches for zero-day attack detection: a review,f. el husseini; h. noura; o. salman; a. chehab,cyber security in networking conference (csnet),ieee,1,12,1,,h5-index,excluded,excluded
1090,2024,adversarial attacks in intrusion detection systems: triggering false alarms in connected and autonomous vehicles,f. aloraini; a. javed,ieee international conference on cyber security and resilience (csr),ieee,1,12,1,,h5-index,excluded,excluded
1097,2024,security enhancement in network based intrusion detection using natural language processing with gan concept and began model,a. sanjivanrao more; k. harishchandra nimbalkar; n. v. jatale; a. hanumant kale; h. a. nagargoje,ieee international conference on blockchain and distributed systems security (icbds),ieee,0,6,0,,h5-index,excluded,excluded
1101,2024,cross-domain cybersecurity: integrated intrusion detection framework,v. kurnala; h. s. kanigolla; m. manda; a. meda,global conference on communications and information technologies (gccit),ieee,0,0,0,,h5-index,excluded,excluded
1113,2022,adversarial machine learning attacks in internet of things systems,r. kone; o. toutsop; k. w. thierry; k. kornegay; j. falaye,ieee applied imagery pattern recognition workshop (aipr),ieee,4,13,1.333333333333333,,h5-index,excluded,excluded
1125,2024,research on computer network intrusion detection algorithm based on deep learning,w. junbo,"ieee international conference on automation, electronics and electrical engineering (auteee)",ieee,0,11,0,,h5-index,excluded,excluded
1126,2023,enhancing cyber-physical system security with cgan in fog environment,p. pathak; d. singh; a. saxena; k. kumar; s. singh dari; d. dhabliya,international conference on data science and network security (icdsns),ieee,0,6,0,,h5-index,excluded,excluded
1127,2022,hybrid intrusion detection technique for malicious network attacks with machine learning,a. ibor; m. agana; b. ele; i. eteng; p. ana,"international conference on electrical, computer and energy technologies (icecet)",ieee,1,13,0.33333333333333331,,h5-index,excluded,excluded
1131,2023,explainable adversarial mitigation framework for zero-trust cyber warfare,e. c. nkoro; c. i. nwakanma; j. -m. lee; d. -s. kim,international conference on information and communication technology convergence (ictc),ieee,1,0,0.5,,h5-index,excluded,excluded
