Title;Paper;Year;Venue;Dataset;Model type;NIDS granularity;Surface;Phase;Position/Access;Knowledge;Goal;Attack technique;Defense technique;Code/Data availability;Evaluation metrics
liuer mihou: a practical framework for generating and evaluating grey-box adversarial attacks against nids;He et al.;2022;arXiv;"Kitsune-Mirai; Custom capture";"Anomaly-detection; Autoencoder; Ensemble";Packet-based;Network-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Surrogate/Transfer-based; Heuristic/Search-based";"Feature squeezing; OOD detector";Code+Data;"Recall; TNR; Recall; ASR "
omni: automated ensemble with unexpected models against adversarial evasion attack;Shu et al.;2022;EMSE;"NSL-KDD; CIC-IDS-2017; CSE-CIC-IDS-2018";"Tabular NN; Ensemble";Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;Ensemble;Data-only;Accuracy
secfednids: robust defense for poisoning attack against federated learning-based network intrusion detection system;Zhang et al.;2022;FGCS;"UNSW-NB15; CSE-CIC-IDS-2018";CNN;Flow-based;Data-level;Training-time;Insider privileged;Gray-box;Integrity-Poisoning;"Gradient-based; Label-flipping";"Poisoned model detection; Poisoned data detection";Code+Data;"Accuracy; Target Accuracy"
sneaking through security: mutating live network traffic to evade learning-based nids;Tan et al.;2022;TNSM;CSE-CIC-IDS-2018;"Tabular NN; Linear/Probabilistic; Tree-based; ";Flow-based;Network-level;Inference-time;External;Gray-box;Integrity-Evasion;Generative/Learning-based;Post-processing classifier output calibration;Data-only;"Accuracy; Recall; FNR; F1; ASR; MPR"
statistical detection of adversarial examples in blockchain-based federated forest in-vehicle network intrusion detection systems;Aliyu et al.;2022;Access;HCRL-OTIDS;Tree-based;Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; Surrogate/Transfer";"OOD detector; Adversarial retraining";Data-only;"Accuracy; Precision; Recall; F1"
tantra: timing-based adversarial network traffic reshaping attack;Sharon et al.;2022;TIFS;"CIC-IDS-2017; Kitsune-Mirai";"Autoencoder; Ensemble; Tree-based";Packet-based;Network-level;Inference-time;External;Black-box;Integrity-Evasion;Generative/Learning-based;"Ensemble; Adversarial retraining";Code+Data;"Recall; FPR"
vulnergan: a backdoor attack through vulnerability amplification against machine learning-based network intrusion detection systems;Liu?et al.;2022;SciChinaIS;CIC-IDS-2017;"Tabular NN; Sequence/Temporal";Flow-based;Data-level;Continuous;Insider limited;Gray-box;Integrity-Poisoning;Generative/Learning-based;None;Code+Data;"Accuracy; FNR; FPR; ASR"
manda: on adversarial example detection for network intrusion detection system;Wang et al.;2023;TDSC;"NSL-KDD; CIC-IDS-2017";"Tabular NN; Linear/Probabilistic; KNN; Tree-based";Flow-based;Feature-level;Inference-time;Insider privileged;White-box;Integrity-Evasion;Gradient-based;OOD detector;Data-only;"Accuracy; ASR; Recall; FPR; AUC"
a case study with cicids2017 on the robustness of machine learning against adversarial attacks in intrusion detection;Catillo et al.;2023;ARES;CIC-IDS-2017;"Autoencoder; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; Surrogate/Transfer-based";None;Data-only;"Accuracy; Precision; Recall; F1; FPR"
a gradient-based approach for adversarial attack on deep learning-based network intrusion detection systems;Mohammadian et al.;2023;ASOC;"CIC-IDS-2017; CSE-CIC-IDS-2018; CIC-DDoS-2019 ";Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;None;Code-only;"Precision; Recall; F1"
a novel poisoning attack on few-shot based network intrusion detection;Alhussien and Aleroud;2023;NOMS;"CSE-CIC-IDS-2018; UNSW-NB15";Linear/Probabilistic;Flow-based;Data-level;Training-time;Insider privileged;Gray-box;Integrity-Poisoning;Heuristic/Search-based;None;Data-only;"Accuracy; AUC; Recall; FPR"
a wasserstein gan-based framework for adversarial attacks against intrusion detection systems;Cui et al.;2023;ICC;CIC-IDS-2017;"Tabular NN; Linear/Probabilistic; Sequence/Temporal; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;None;Data-only;"Accuracy; Precision; Recall; F1; EIR"
adv-bot: realistic adversarial botnet attacks against network intrusion detection systems;Debicha et al.;2023;COSE;"CTU-13; CSE-CIC-IDS-2018 ";"Tabular NN; Ensemble; KNN; Tree-based";Flow-based;Network-level;Inference-time;External;Black-box;Integrity-Evasion;"Surrogate/Transfer-based; Heuristic/Search-based";"Ensemble; Adversarial retraining; OOD detector";Data-only;"Precision; Recall; F1"
adversarial attacks against iot identification systems;Kotak and Elovici;2023;IoTJ;"IoT-Traces; IoTFinder-Traces; Custom capture";"CNN; Tabular NN; Sequence/Temporal";Packet-based;Network-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Surrogate/Transfer-based; Heuristic/Search-based";None;None;"Accuracy; Confidence; ASR"
adversarial machine learning attacks on multiclass classification of iot network traffic;Pantelakis et al.;2023;ARES;IoTID20;"Tabular NN; KNN; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Gradient-based;Adversarial retraining;Data-only;"Accuracy; Precision; Recall; F1; AUC; ICA"
defending against adversarial machine learning attacks using hierarchical learning: a case study on network traffic attack classification;McCarthy e al.;2023;JISA;CIC-IDS-2017;Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; Surrogate/Transfer-based";Ensemble;Code+Data;"Accuracy; Precision; Recall; F1; ASR"
defending network ids against adversarial examples with continual learning;Kozal et al.;2023;ICDMW;"CIC-IDS-2017; USTC-TFC2016 ";CNN;Flow-based;Feature-level;Inference-time;Insider privileged;White-box;Integrity-Evasion;Gradient-based;"Adversarial retraining; Dynamic retraining";Code+Data;"Accuracy; ASR"
dependable federated learning for iot intrusion detection against poisoning attacks;Yang et al.;2023;COSE;CIC-IDS-2017;Tabular NN;Flow-based;Data-level;Training-time;Insider privileged;White-box;Integrity-Poisoning;Label-flipping;Poisoned model detection;Data-only;Accuracy
employing deep ensemble learning for improving the security of computer networks against adversarial attacks;Nowroozi et al.;2023;TNSM;"N-BaIoT; RIPE-Atlas ";"Autoencoder; CNN; Ensemble";Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;Ensemble;Code+Data;"Accuracy; Precision; ASR; PSNR; L1, L_inf"
enhancing the sustainability of deep-learning-based network intrusion detection classifiers against adversarial attacks;Alotaibi and Rassam;2023;Sustainability;CIC-IDS-2017;"CNN; Generative";Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;"Generative/Learning-based; Adversarial retraining";Data-only;"Accuracy; Precision; Recall; F1"
